namespace,extension_uid,version_label
ADODB,com.castsoftware.dotnet.adodb,1.0.0-alpha1
ADOR,com.castsoftware.dotnet.adodb,1.0.0-beta1
AdoNetCore.AseClient,com.castsoftware.dotnet.ado,1.0.0-beta1
Amazon.DynamoDBv2,com.castsoftware.nosqldotnet,1.8.2-funcrel
Amazon.DynamoDBv2.DataModel,com.castsoftware.nosqldotnet,1.8.2-funcrel
Amazon.DynamoDBv2.DocumentModel,com.castsoftware.nosqldotnet,1.8.2-funcrel
Amazon.Lambda,com.castsoftware.awsdotnet,1.0.0-alpha3
Amazon.S3,com.castsoftware.awsdotnet,1.0.4-funcrel
Amazon.SQS,com.castsoftware.awsdotnet,1.0.0-alpha3
Amazon.SimpleNotificationService,com.castsoftware.awsdotnet,1.0.0-alpha3
Apache.NMS,com.castsoftware.dotnet.nms,1.0.0-alpha1
Apache.NMS.AMQP,com.castsoftware.dotnet.nms,1.0.0-beta1
Apache.NMS.ActiveMQ,com.castsoftware.dotnet.nms,1.0.0-alpha1
Azure.Messaging.EventHubs,com.castsoftware.azure.dotnet,1.0.0-beta2
Azure.Messaging.EventHubs.Consumer,com.castsoftware.azure.dotnet,1.0.0-beta2
Azure.Messaging.EventHubs.Producer,com.castsoftware.azure.dotnet,1.0.0-beta2
Azure.Messaging.ServiceBus,com.castsoftware.azure.dotnet,1.0.0-alpha3
Bucket,com.castsoftware.nodejs,2.9.0-beta1
CacheManager.Core,com.castsoftware.nosqldotnet,1.8.2-funcrel
Confluent.Kafka,com.castsoftware.dotnet.kafka,1.0.1-funcrel
Cosmonaut,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.Core,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.KeyValue,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.Management,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.N1QL,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.Search,com.castsoftware.nosqldotnet,1.8.2-funcrel
Dapper,com.castsoftware.dotnet.dapper,1.0.0-alpha1
Dapper.Contrib.Extensions,com.castsoftware.dotnet.dapper,1.0.0-beta2
Dapper.FastCrud,com.castsoftware.dotnet.dapper,1.0.0-beta3
Dapper.FastCrud.Configuration.StatementOptions,com.castsoftware.dotnet.dapper,1.0.0-beta3
Dapper.FastCrud.Mappings,com.castsoftware.dotnet.dapper,1.0.0-beta3
Dapper.FluentMap.Dommel.Mapping,com.castsoftware.dotnet.dapper,1.0.0-beta4
DevExpress.ExpressApp,com.castsoftware.dotnet.devexpress.xpo,1.0.0-funcrel
DevExpress.Xpo,com.castsoftware.dotnet.devexpress.xpo,1.0.0-alpha1
DevExpress.Xpo.DB,com.castsoftware.dotnet.devexpress.xpo,1.0.0-funcrel
Devart.Common,com.castsoftware.dotnet.ado,1.0.0-alpha2
Devart.Data.Linq,com.castsoftware.dotnet.ado,1.0.0-beta2
Devart.Data.MySql,com.castsoftware.dotnet.ado,1.0.0-beta2
Devart.Data.Oracle,com.castsoftware.dotnet.ado,1.0.0-alpha2
Devart.Data.PostgreSql,com.castsoftware.dotnet.ado,1.0.0-beta2
Devart.Data.SQLite,com.castsoftware.dotnet.ado,1.0.0-beta2
DotNetCore.CAP,com.castsoftware.dotnet.kafka,1.0.1-funcrel
DotNetCore.CAP,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
DotNetNuke.Data.PetaPoco,com.castsoftware.dotnet.petapoco,1.0.0-funcrel
EFCore.BulkExtensions,com.castsoftware.entity,2.2.8-funcrel
EasyNetQ,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
EasyNetQ.AutoSubscribe,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
EasyNetQ.Producer,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
EasyNetQ.Scheduling,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
Elasticsearch.Net,com.castsoftware.nosqldotnet,1.8.2-funcrel
Elsa.Mediator.Contracts,com.castsoftware.dotnet.mediatr,1.1.0-beta1
Enyim.Caching,com.castsoftware.nosqldotnet,1.8.2-funcrel
Enyim.Caching.Configuration,com.castsoftware.nosqldotnet,1.8.2-funcrel
Experimental.System.Messaging,com.castsoftware.dotnet.msmq,1.0.0-beta1
File,com.castsoftware.nodejs,2.9.0-beta1
FluentMediator.Pipelines.CancellablePipelineAsync,com.castsoftware.dotnet.mediatr,1.1.0-beta1
FluentMediator.Pipelines.Pipeline,com.castsoftware.dotnet.mediatr,1.1.0-beta1
FluentMediator.Pipelines.PipelineAsync,com.castsoftware.dotnet.mediatr,1.1.0-beta1
FluentNHibernate.Mapping,com.castsoftware.dotnet.nhibernate,1.0.0-alpha2
Flurl.Http,com.castsoftware.dotnet.service,1.0.0-beta2
Google.Cloud.Bigtable.Admin.V2,com.castsoftware.dotnet.gcp,1.0.1-funcrel
Google.Cloud.Bigtable.V2,com.castsoftware.dotnet.gcp,1.0.1-funcrel
Google.Cloud.PubSub.V1,com.castsoftware.dotnet.gcp,1.0.1-funcrel
Google.Cloud.Storage.V1,com.castsoftware.dotnet.gcp,1.0.1-funcrel
Handyman.Mediator,com.castsoftware.dotnet.mediatr,1.1.0-beta1
IBM.Data.DB2,com.castsoftware.dotnet.ado,1.0.0-beta1
IBM.Data.DB2.Core,com.castsoftware.dotnet.ado,1.0.0-beta1
IBM.Data.DB2.iSeries,com.castsoftware.dotnet.ado,1.0.0-beta1
IBM.Data.Informix,com.castsoftware.dotnet.ado,1.0.0-beta2
IBM.WMQ,com.castsoftware.dotnet.ibmmq,1.0.0-alpha1
IBM.XMS,com.castsoftware.dotnet.ibmmq,1.0.0-alpha1
IBatisNet.DataMapper,com.castsoftware.ibatis,1.3.0-alpha1
Instance,com.castsoftware.nodejs,2.9.0-alpha2
LazyCache,com.castsoftware.nosqldotnet,1.8.2-funcrel
LinqToDB,com.castsoftware.dotnet.ado,1.1.2-funcrel
LinqToDB.Mapping,com.castsoftware.dotnet.ado,1.1.2-funcrel
Lucene.Net.Index,com.castsoftware.nosqldotnet,1.8.2-funcrel
Lucene.Net.Search,com.castsoftware.nosqldotnet,1.8.2-funcrel
MSMQ.Messaging,com.castsoftware.dotnet.msmq,1.0.0-alpha1
MassTransit,com.castsoftware.dotnet.kafka,1.0.1-funcrel
MassTransit,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
MediatR,com.castsoftware.dotnet.mediatr,1.0.0-alpha1
Mediator,com.castsoftware.dotnet.mediatr,1.0.0-beta1
Mediator.Net,com.castsoftware.dotnet.mediatr,1.1.0-beta1
Microsoft.ApplicationBlocks.Data,com.castsoftware.dotnet.msappblocksdata,1.0.0-alpha1
Microsoft.AspNet.SignalR.Client,com.castsoftware.azure.dotnet,1.0.0-beta3
Microsoft.AspNet.SignalR.Client.Hubs,com.castsoftware.azure.dotnet,1.0.0-beta3
Microsoft.AspNetCore.Builder,com.castsoftware.azure.dotnet,1.0.0-beta3
Microsoft.AspNetCore.SignalR,com.castsoftware.azure.dotnet,1.0.0-beta3
Microsoft.AspNetCore.SignalR.Client,com.castsoftware.azure.dotnet,1.0.0-beta3
Microsoft.Azure,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Azure.Cosmos,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Azure.Cosmos.Fluent,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Azure.Documents,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Azure.Documents.Client,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Azure.Documents.Linq,com.castsoftware.nosqldotnet,1.8.7-funcrel
Microsoft.Azure.EventHubs,com.castsoftware.azure.dotnet,1.0.0-beta2
Microsoft.Azure.EventHubs.Processor,com.castsoftware.azure.dotnet,1.0.0-beta2
Microsoft.Azure.Functions.Worker,com.castsoftware.azure.dotnet,1.0.0-beta1
Microsoft.Azure.ServiceBus.Core,com.castsoftware.azure.dotnet,1.0.0-alpha3
Microsoft.Azure.WebJobs,com.castsoftware.azure.dotnet,1.0.0-alpha4
Microsoft.Azure.WebJobs.Extensions.DurableTask,com.castsoftware.azure.dotnet,1.0.0-alpha4
Microsoft.Azure.WebJobs.Extensions.SignalRService,com.castsoftware.azure.dotnet,1.0.0-beta3
Microsoft.Data.SqlClient,com.castsoftware.dotnet.ado,1.0.0-alpha1
Microsoft.Data.Sqlite,com.castsoftware.dotnet.ado,1.0.0-beta1
Microsoft.EntityFrameworkCore,com.castsoftware.entity,2.2.0-alpha1
Microsoft.Extensions.Caching.Redis,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Extensions.Caching.StackExchangeRedis,com.castsoftware.nosqldotnet,1.8.2-funcrel
Microsoft.Extensions.DependencyInjection,com.castsoftware.dotnet.kafka,1.0.1-funcrel
Microsoft.Extensions.DependencyInjection,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
Microsoft.OData.Client,com.castsoftware.dotnet.odata,1.0.0-alpha1
Microsoft.Practices.EnterpriseLibrary.Data,com.castsoftware.msenterpriselibrary,1.0.0-alpha1
Microsoft.Practices.EnterpriseLibrary.Data.Oracle,com.castsoftware.msenterpriselibrary,1.0.0-beta1
Microsoft.Practices.EnterpriseLibrary.Data.Sql,com.castsoftware.msenterpriselibrary,1.0.0-alpha1
Microsoft.Practices.EnterpriseLibrary.Data.SqlCe,com.castsoftware.msenterpriselibrary,1.0.0-funcrel
Microsoft.ServiceBus.Messaging,com.castsoftware.azure.dotnet,1.0.3-funcrel
Microsoft.SqlServer.Server,com.castsoftware.dotnet.ado,1.0.0-beta2
MongoDB.Driver,com.castsoftware.nosqldotnet,1.8.2-funcrel
MongoDB.Driver.Builders,com.castsoftware.nosqldotnet,1.8.2-funcrel
MySQLdb,com.castsoftware.python,1.6.7-funcrel
MySql.Data.MySqlClient,com.castsoftware.dotnet.ado,1.0.0-beta1
MySqlConnector,com.castsoftware.dotnet.ado,1.0.0-beta1
NHibernate,com.castsoftware.dotnet.nhibernate,1.0.0-alpha1
NHibernate.AdoNet,com.castsoftware.dotnet.nhibernate,1.0.0-beta4
NHibernate.Engine,com.castsoftware.dotnet.nhibernate,1.0.0-beta4
NHibernate.Impl,com.castsoftware.dotnet.nhibernate,1.1.1-funcrel
NHibernate.Linq,com.castsoftware.dotnet.nhibernate,1.1.2-funcrel
NMS.AMQP,com.castsoftware.dotnet.nms,1.0.0-beta1
NPoco,com.castsoftware.dotnet.petapoco,1.0.0-alpha1
NPoco.FluentMappings,com.castsoftware.dotnet.petapoco,1.0.0-beta1
NServiceBus,com.castsoftware.dotnet.rabbitmq,1.0.0-funcrel
Nest,com.castsoftware.nosqldotnet,1.8.2-funcrel
Npgsql,com.castsoftware.dotnet.ado,1.0.0-beta1
Oracle.DataAccess.Client,com.castsoftware.dotnet.ado,1.0.0-alpha2
Oracle.ManagedDataAccess.Client,com.castsoftware.dotnet.ado,1.0.0-alpha2
Owin,com.castsoftware.azure.dotnet,1.0.0-beta3
PetaPoco,com.castsoftware.dotnet.petapoco,1.0.0-alpha1
PubSub,com.castsoftware.nodejs,2.9.0-beta4
PublisherClient,com.castsoftware.nodejs,2.9.0-beta3
RabbitMQ.Client,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
RestSharp,com.castsoftware.dotnet.service,1.0.0-beta2
Row,com.castsoftware.nodejs,2.9.0-alpha2
SQLite,com.castsoftware.dotnet.ado,1.0.0-beta2
Server,com.castsoftware.nodejs,2.10.0-beta1
ServiceStack.Redis,com.castsoftware.nosqldotnet,1.8.2-funcrel
Simple.OData.Client,com.castsoftware.dotnet.odata,1.0.0-beta1
Snowflake.Client,com.castsoftware.dotnet.ado,1.0.0-beta1
Snowflake.Data.Client,com.castsoftware.dotnet.ado,1.0.0-beta1
SoapCore,com.castsoftware.dotnet.soap,1.0.0-beta1
SolrNet,com.castsoftware.nosqldotnet,1.8.2-funcrel
SolrNet.Cloud,com.castsoftware.nosqldotnet,1.8.2-funcrel
Spring.Data.Core,com.castsoftware.dotnet.ado,1.0.0-beta1
Spring.Data.Generic,com.castsoftware.dotnet.ado,1.0.0-alpha2
SqlBatis.DataMapper,com.castsoftware.ibatis,1.3.0-alpha1
StackExchange.Redis,com.castsoftware.nosqldotnet,1.8.2-funcrel
Storage,com.castsoftware.nodejs,2.9.0-beta1
Streamiz.Kafka.Net.Stream,com.castsoftware.dotnet.kafka,1.0.1-funcrel
SubSonic,com.castsoftware.dotnet.subsonic,1.0.0-alpha1
SubSonic.DataService,com.castsoftware.dotnet.subsonic,1.0.0-alpha1
SubSonic.TableSchema,com.castsoftware.dotnet.subsonic,1.0.0-alpha1
SubscriberClient,com.castsoftware.nodejs,2.9.0-beta3
Subscription,com.castsoftware.nodejs,2.9.0-beta3
Sybase.Data.AseClient,com.castsoftware.dotnet.ado,1.0.0-beta1
System,com.castsoftware.dotnet.remoting,1.0.0-alpha1
System.Collections.Generic,com.castsoftware.entity,2.3.0-funcrel
System.Collections.Generic,com.castsoftware.nosqldotnet,1.8.2-funcrel
System.Data,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.Common,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.Entity,com.castsoftware.entity,2.2.0-alpha1
System.Data.Entity.Core.EntityClient,com.castsoftware.dotnet.ado,1.0.0-alpha2
System.Data.Entity.Core.Objects,com.castsoftware.entity,2.2.2-funcrel
System.Data.Entity.Infrastructure,com.castsoftware.entity,2.2.6-funcrel
System.Data.Entity.Migrations,com.castsoftware.entity,2.2.0-beta1
System.Data.Entity.ModelConfiguration,com.castsoftware.entity,2.2.0-alpha1
System.Data.Entity.ModelConfiguration.Configuration,com.castsoftware.entity,2.2.0-alpha2
System.Data.EntityClient,com.castsoftware.dotnet.ado,1.0.0-alpha2
System.Data.Linq,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.Objects,com.castsoftware.entity,2.2.2-funcrel
System.Data.Odbc,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.OleDb,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.OracleClient,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.SQLite,com.castsoftware.dotnet.ado,1.0.0-beta1
System.Data.Services.Client,com.castsoftware.dotnet.odata,1.0.0-beta2
System.Data.SqlClient,com.castsoftware.dotnet.ado,1.0.0-alpha1
System.Data.SqlServerCe,com.castsoftware.dotnet.ado,1.0.0-beta1
System.Linq,com.castsoftware.dotnet.ado,1.1.0-funcrel
System.Linq,com.castsoftware.dotnet.nhibernate,1.1.2-funcrel
System.Linq,com.castsoftware.dotnet.odata,1.0.0-alpha2
System.Linq,com.castsoftware.entity,2.2.0-alpha1
System.Messaging,com.castsoftware.dotnet.msmq,1.0.0-alpha1
System.Net,com.castsoftware.dotnet.service,1.0.0-alpha1
System.Net.Http,com.castsoftware.dotnet.service,1.0.0-alpha1
System.Runtime.Remoting,com.castsoftware.dotnet.remoting,1.0.0-alpha1
System.Web.Routing,com.castsoftware.azure.dotnet,1.0.0-beta3
System.Web.Services.Protocols,com.castsoftware.dotnet.soap,1.0.0-alpha1
Table,com.castsoftware.nodejs,2.9.0-alpha2
Teradata.Client.Provider,com.castsoftware.dotnet.ado,1.0.0-beta1
Topic,com.castsoftware.nodejs,2.9.0-beta3
Windows.Web.Http,com.castsoftware.dotnet.service,1.0.0-alpha1
WindowsAzureMemcachedHelpers,com.castsoftware.nosqldotnet,1.8.2-funcrel
Z.Dapper.Plus,com.castsoftware.dotnet.dapper,1.0.0-alpha3
Z.EntityFramework.Plus,com.castsoftware.entity,2.2.5-funcrel
aioch,com.castsoftware.python,1.6.7-funcrel
aiohttp,com.castsoftware.python,1.6.0-alpha7
aiomysql,com.castsoftware.python,1.6.7-funcrel
aioodbc,com.castsoftware.python,1.6.7-funcrel
aiopg,com.castsoftware.python,1.6.7-funcrel
aioredis,com.castsoftware.python,1.6.7-funcrel
android.content,com.castsoftware.android,1.0.0-alpha3
android.database.sqlite,com.castsoftware.android,2.1.11-funcrel
asyncio,com.castsoftware.python,1.6.0-alpha2
asyncpg,com.castsoftware.python,1.6.7-funcrel
asyncssh,com.castsoftware.python,1.6.0-alpha8
builtins,com.castsoftware.python,1.6.0-alpha3
cassandra.cluster,com.castsoftware.python,1.6.7-funcrel
clickhouse_driver,com.castsoftware.python,1.6.7-funcrel
clickhouse_driver.dbapi.connection,com.castsoftware.python,1.6.7-funcrel
co.elastic.clients.elasticsearch,com.castsoftware.nosqljava,1.9.5-funcrel
co.elastic.clients.elasticsearch.indices,com.castsoftware.nosqljava,1.9.5-funcrel
codecs,com.castsoftware.python,1.6.0-alpha3
com.amazonaws.client.builder,com.castsoftware.nosqljava,1.8.2-funcrel
com.amazonaws.services.dynamodbv2,com.castsoftware.nosqljava,1.8.2-funcrel
com.amazonaws.services.dynamodbv2.datamodeling,com.castsoftware.nosqljava,1.8.2-funcrel
com.amazonaws.services.dynamodbv2.document,com.castsoftware.nosqljava,1.8.2-funcrel
com.amazonaws.services.dynamodbv2.util,com.castsoftware.nosqljava,1.8.2-funcrel
com.amazonaws.services.lambda,com.castsoftware.awsjava,1.2.0-alpha2
com.amazonaws.services.s3,com.castsoftware.awsjava,1.2.0-alpha2
com.amazonaws.services.sns,com.castsoftware.awsjava,1.2.0-alpha2
com.amazonaws.services.sns.util,com.castsoftware.awsjava,1.2.0-alpha2
com.amazonaws.services.sqs,com.castsoftware.mqe,1.2.0-alpha4
com.android.volley,com.castsoftware.android,2.1.10-funcrel
com.arkea.api.shared.rest,com.castsoftware.java.service,1.0.4-funcrel
com.axelor.apps,com.castsoftware.birt,1.0.0-alpha1
com.azure.cosmos,com.castsoftware.nosqljava,1.8.2-funcrel
com.azure.messaging.eventhubs,com.castsoftware.azure.java,1.0.0-beta2
com.azure.messaging.servicebus,com.castsoftware.azure.java,1.0.0-alpha2
com.azure.spring.data.cosmos.repository,com.castsoftware.nosqljava,1.8.2-funcrel
com.bouygtel.corbis.common.client.soap,com.castsoftware.jaxws,1.1.0-funcrel
com.bouygtel.interventions.client,com.castsoftware.jaxws,1.1.0-funcrel
com.bouygtel.interventions.interfaces.soap,com.castsoftware.jaxws,1.1.0-funcrel
com.couchbase.client.java,com.castsoftware.nosqljava,1.8.2-funcrel
com.couchbase.client.java.query,com.castsoftware.nosqljava,1.8.2-funcrel
com.couchbase.lite,com.castsoftware.nosqljava,1.0.0-alpha1
com.datastax.driver.core,com.castsoftware.java.cassandra,1.0.0-beta1
com.datastax.oss.driver.api.core,com.castsoftware.java.cassandra,1.0.0-beta1
com.datastax.oss.driver.api.core.cql.session,com.castsoftware.java.cassandra,1.0.0-beta1
com.datastax.oss.driver.api.core.session,com.castsoftware.java.cassandra,1.0.0-beta2
com.datastax.oss.driver.api.querybuilder,com.castsoftware.java.cassandra,1.0.0-beta1
com.datastax.oss.driver.core,com.castsoftware.java.cassandra,1.0.0-beta1
com.github.vanroy.springdata.jest,com.castsoftware.nosqljava,1.8.2-funcrel
com.google.api.gax.rpc,com.castsoftware.java.gcp,1.0.0-beta2
com.google.cloud.bigtable.admin.v2,com.castsoftware.java.gcp,1.0.0-alpha1
com.google.cloud.bigtable.data.v2,com.castsoftware.java.gcp,1.0.0-alpha1
com.google.cloud.pubsub.v1,com.castsoftware.java.gcp,1.0.0-beta2
com.google.cloud.storage,com.castsoftware.java.gcp,1.0.0-beta1
com.google.gwt.user.client,com.castsoftware.jeerules,2.0.0-beta1
com.hybris.ymkt.common.http,com.castsoftware.sap.hybris,1.0.0-funcrel
com.hybris.ymkt.common.odata,com.castsoftware.sap.hybris,1.0.0-funcrel
com.ibatis.sqlmap.client,com.castsoftware.ibatis,1.3.0-alpha1
com.ibm.as400.access,com.castsoftware.java2program,1.1.0-funcrel
com.ibm.connector2.cics,com.castsoftware.java2program,1.1.0-funcrel
com.ibm.ctg.client,com.castsoftware.java2program,1.1.0-funcrel
com.ibm.mq,com.castsoftware.mqe,1.2.0-alpha6
com.ibm.mq.jms,com.castsoftware.mqe,1.2.0-alpha6
com.j256.ormlite.dao,com.castsoftware.ormlite,1.0.0-alpha1
com.j256.ormlite.stmt,com.castsoftware.ormlite,1.0.0-alpha2
com.marklogic.client,com.castsoftware.nosqljava,1.0.0-alpha1
com.marklogic.client.bitemporal,com.castsoftware.nosqljava,1.0.0-alpha1
com.marklogic.client.document,com.castsoftware.nosqljava,1.0.0-alpha1
com.marklogic.client.query,com.castsoftware.nosqljava,1.0.0-alpha1
com.marklogic.client.query.QueryManager,com.castsoftware.nosqljava,1.0.0-alpha1
com.microsoft.azure.cosmosdb.rx,com.castsoftware.nosqljava,1.8.2-funcrel
com.microsoft.azure.documentdb,com.castsoftware.nosqljava,1.8.2-funcrel
com.microsoft.azure.eventhubs,com.castsoftware.azure.java,1.0.0-beta2
com.microsoft.azure.eventprocessorhost,com.castsoftware.azure.java,1.0.0-beta2
com.microsoft.azure.eventprocessorhost.EventProcessorHost.EventProcessorHostBuilder,com.castsoftware.azure.java,1.0.0-beta2
com.microsoft.azure.servicebus,com.castsoftware.azure.java,1.0.0-beta1
com.microsoft.azure.spring.data.cosmosdb.core,com.castsoftware.nosqljava,1.8.2-funcrel
com.microsoft.azure.spring.data.cosmosdb.repository,com.castsoftware.nosqljava,1.8.2-funcrel
com.microsoft.signalr,com.castsoftware.azure.java,1.0.0-beta3
com.mongodb,com.castsoftware.nosqljava,1.8.2-funcrel
com.mongodb.async.client,com.castsoftware.nosqljava,1.9.0-funcrel
com.mongodb.client,com.castsoftware.nosqljava,1.8.2-funcrel
com.mongodb.client.MongoCollection,com.castsoftware.nosqljava,1.8.2-funcrel
com.mysema.query.jpa,com.castsoftware.springdata,2.1.0-alpha4
com.mysema.query.jpa.impl,com.castsoftware.springdata,2.1.0-alpha4
com.querydsl.jpa,com.castsoftware.springdata,2.0.0-alpha1
com.querydsl.jpa.impl,com.castsoftware.springdata,2.0.0-alpha1
com.rabbitmq.client,com.castsoftware.mqe,1.1.1-funcrel
com.squareup.okhttp,com.castsoftware.java.service,1.0.4-funcrel
com.sun.jersey.api.client,com.castsoftware.java.service,1.0.4-funcrel
com.sun.jersey.api.client.WebResource,com.castsoftware.java.service,1.0.4-funcrel
com.sun.xml.rpc.client.dii,com.castsoftware.jaxws,1.1.1-funcrel
com.vaadin.event.FieldEvents,com.castsoftware.vaadin,1.0.0-alpha2
com.vaadin.flow.component,com.castsoftware.vaadin,1.0.0-alpha1
com.vaadin.flow.component.button,com.castsoftware.vaadin,1.0.0-alpha1
com.vaadin.flow.component.checkbox,com.castsoftware.vaadin,1.0.0-beta1
com.vaadin.flow.component.combobox,com.castsoftware.vaadin,1.0.0-beta1
com.vaadin.ui,com.castsoftware.vaadin,1.0.0-alpha1
com.westcoast.jbaclient.persistence,com.castsoftware.java.sql,1.0.2-funcrel
cx_Oracle,com.castsoftware.python,1.6.7-funcrel
cz.msebera.android.httpclient.client.methods,com.castsoftware.android,1.0.0-alpha1
dircache,com.castsoftware.python,1.6.0-alpha3
django,com.castsoftware.python,1.6.0-alpha4
django.core.validators,com.castsoftware.python,1.6.0-alpha4
elementpath,com.castsoftware.python,1.6.0-alpha2
fabric.connection,com.castsoftware.python,1.6.0-alpha5
fabric.group,com.castsoftware.python,1.6.0-alpha5
fastapi,com.castsoftware.python,1.6.0-alpha6
fastapi.responses,com.castsoftware.python,1.6.0-alpha6
fastapi.templating,com.castsoftware.python,1.6.0-alpha6
fileinput,com.castsoftware.python,1.6.0-alpha3
flask,com.castsoftware.python,1.6.0-alpha3
flask_cors,com.castsoftware.python,1.6.0-alpha9
freemarker.template,com.castsoftware.java.freemarker,1.0.0-alpha1
glob,com.castsoftware.python,1.6.0-alpha3
http.client,com.castsoftware.python,1.6.0-alpha7
httpx,com.castsoftware.python,1.6.0-alpha7
io,com.castsoftware.python,1.6.0-alpha3
io.awspring.cloud.messaging.core,com.castsoftware.mqe,1.3.1-funcrel
io.awspring.cloud.messaging.core.support,com.castsoftware.mqe,1.3.1-funcrel
io.ebean,com.castsoftware.java.hibernate,1.0.0-beta2
io.lettuce.core,com.castsoftware.nosqljava,1.8.2-funcrel
io.lettuce.core.api.async,com.castsoftware.nosqljava,1.8.2-funcrel
io.lettuce.core.api.reactive,com.castsoftware.nosqljava,1.9.0-funcrel
io.lettuce.core.api.sync,com.castsoftware.nosqljava,1.8.2-funcrel
io.quarkus.hibernate.orm.panache,com.castsoftware.java.hibernate,1.1.0-beta1
io.quarkus.hibernate.orm.panache,com.castsoftware.springdata,2.2.0-beta1
io.searchbox.client,com.castsoftware.nosqljava,1.8.2-funcrel
